Formula,MP band gap (eV),formation energy per atom (eV),valence band edge (SHE),conduction band edge (SHE),link(s)/Reference(s),synthesized
BaIn2O4,1.6657,-2.280385926,1.543386152,-0.122313848,www.dx.doi.org/10.1016/0022-5088(89)90209-9,BaCO3 + In2O3 at 840 C for 12 h
BaMgTe2O7,1.8494,-2.245259462,0.832188239,-1.017211761,www.dx.doi.org/10.1021/ic202602q,BaCO3 + MgCO3 + TeO2 + H2TeO4-2H2O to 650 C for 3 d in air (3.39 eV band gap)
BaS2,1.5761,-1.859439449,0.876302863,-0.699797137,"Kawada, I.; Yamaoka, S.; Kato, K. Barium disulphide Acta Crystallographica B (24,1968-38,1982) 31 (1975) 2905-2906",BaS2 + S in sealed ampule at 550 C
BaSbSe2F,1.3343,-1.808363293,1.532656609,0.198356609,www.dx.doi.org/10.1021/ic051969x,BaF2 + Ba + Sb2Se3 + Se at 700 C in sealed ampule
BaSnS2,1.6394,-1.625334751,0.849778158,-0.789621842,"Iglesias, J.E.; Steinfink, H. A variant of the Na Cl structure type: Ba Sn S2 Acta Crystallographica B (24,1968-38,1982) 29 (1973) 1480-1483",BaS + SnS at 750 C for 2 weeks
BaTa2Bi2O9,1.9158,-2.802819359,1.629803893,-0.285996107,"Marquart, R.; Kennedy, B.J.; Shimakawa, Y. Cation disorder in the ferroelectric oxides A Bi2 Ta2 O9, A = Ca, Sr, Ba Journal of Solid State Chemistry 160 (2001) 174-177",BaCO3 + Ta2O5 + Bi2O3 at 1000-1370 C for 12-30 h in air
Ca12Al14O33,1.9743,-3.453231882,1.521631822,-0.452668178,www.dx.doi.org/10.1107/S0108768107030005,"CaO + Al2O3 at 453 K for 1 week, 1623 K for 24 h, 1623 K for 48 h"
Ca2CoO3,1.754,-2.477465595,0.991121809,-0.762878191,"Miyazaki, Y.; Onoda, M.; Oku, T.; Kikuchi, M.; Ishii, Y.; Ono, Y.; Morii, Y.; Kajitani, T. Modulated structure of the thermoelectric compound (Ca2 Co O3)0.62 Co O2 Journal of the Physical Society of Japan 71 (2002) 491-497",CaCO3 + Co3O4 ball-milled in IPA and calcined at 900 C for 17 d
Ca2CuTe4Cl2O10,0.7175,-1.929257232,0.942106823,0.224606823,www.dx.doi.org/10.1107/S0108270105028234,"CaO+CuCl2+CuO+TeO2 in 1:1:1:2 ratio in sealed quartz tube, 72 h at 900 K"
Ca2FeClO3,0.9904,-2.69175188,0.976507517,-0.013892483,"Parthe, E.; Hu, S.-Z. Ca Fe O2 Cl and Ca2 Fe O3 Cl with higher space group symmetry, a reevaluation Journal of Solid State Chemistry 174 (2003) 165-166",CaCl2 + Fe2O3 in CaCl2 flux at 850 C for 5 h in Pt crucible
Ca2PbO4,1.482,-2.571897361,1.127451067,-0.354548933,www.dx.doi.org/10.1002/zaac.19926070122,already made and sent to Cornell
Ca3PCl3,1.8419,-2.268943791,0.924687296,-0.917212704,"Hadenfeldt, C.; Herdejuergen, H. Darstellung, Kristallstruktur und thermisches Verhalten der Calciumphosphidchloride Ca2-x P1-x Cl1+x (0< x< 0.18) und Ca3 P Cl3 Journal of the Less-Common Metals 124 (1986) 93-103",Ca3P2 + CaCl2 in steel ampules under Ar at 740 C then 950 C
CaFeClO2,1.9232,-2.478051764,1.829880939,-0.093319061,"Parthe, E.; Hu, S.-Z. Ca Fe O2 Cl and Ca2 Fe O3 Cl with higher space group symmetry, a reevaluation Journal of Solid State Chemistry 174 (2003) 165-166",CaCl2 + Fe2O3 at 800 C for 6 h in Pt crucible
CaSb10S6O10,1.7465,-1.498445417,0.981427616,-0.765072384,www.dx.doi.org/10.1107/S0567740878011619,CaO + SrCO3 + Sb2S3 + Sb2O3 at 100-650 C hydrothermally
CaTaNO2,1.6122,-2.770636656,1.552500028,-0.059699972,www.dx.doi.org/10.1002/1521-3749(200007)626:7<1519::AID-ZAAC1519>3.0.CO;2-I,CaCO3 + Ta2O5 at 900 C in ammonia
CoGeO3,1.4633,-1.828688966,1.007785531,-0.455514469,"Peacor, D.R. The crystal structure of Co Ge O3 Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977) 126 (1968) 299-306",Co3O4 + GeO2 at 1273 K for 18 days
CoPO4,1.1587,-2.142834406,1.294524626,0.135824626,www.dx.doi.org/10.1016/j.ssi.2003.09.015,Electrochemical dilithiation of LiCoPO4 ( Co nitrate + LiNO3 + NH4H2PO4 + citric acid in water)
CoPb2WO6,1.7802,-1.774045965,0.855053595,-0.925146405,www.dx.doi.org/10.1107/S0108768100000677,PbO + WO3 + CoO in sealed ampule at 1050 K for 12 h
CoSeO4,1.6889,-1.263421481,1.668266066,-0.020633934,"Fuess, H.; Will, G. Bestimmung der Kristallstruktur der Selenate M Se O4 (M = Mn, Co, ni) durch Roentgen- und Neutronenbeugung Zeitschrift fuer Anorganische und Allgemeine Chemie 358 (1968) 125-137","SeO2 + Co2CO3(OH)2 (CONO3-5H2O + Na2CO3 at 90 C for 2 h)  in water evap. over several days, heated to 315 C for several days"
Cr2TeO6,1.3565,-2.019535933,0.837316454,-0.519183546,"Kunnmann, W.; Corliss, L.M.; la Placa, S.J.; Hastings, J.M.; Banks, E. Magnetic structures of the ordered trirutiles Cr2 W O6, Cr2 Te O6 and Fe2 Te O6 Journal of Physics and Chemistry of Solids 29 (1968) 1359-1364","Te + Cr2O3 slowly heated to 600 C, then fired at 700 C until pure- crucible prefired with tellurium oxide at 900 C for 12 h"
Cr3BO6,1.602,-2.466734576,1.299417792,-0.302582208,www.dx.doi.org/10.1039/b100707f,Cr2(SO4)3-6H2O + H3BO3 ball-milled and fired at 680 C for 3 d
CrCuP2S6,0.9574,-0.750906733,0.969652732,0.012252732,www.dx.doi.org/10.1021/cm00030a006,Cr + Cu + P + S in sealed ampule at 700 C
CrPb5O8,1.8799,-1.619119913,1.257457107,-0.622442893,"Krivovichev, S.V.; Armbruster, T.; Depmeier, W. Crystal structures of Pb8 O5 (As O4)2 and Pb5 O4 (Cr O4) and review of (Pb O)-related structural units in inorganic compounds Journal of Solid State Chemistry 177 (2004) 1321-1332",PbO + Pb2O(CrO4) (CrO3 + PbO + NaOH hydrothermally at 120 C for 18 h) in air at 900 C
Cs4Ta2S11,1.8065,-1.397352356,0.909840376,-0.896659624,www.dx.doi.org/10.1107/S0108270197018404,Cs2S3 (Cs + S in liquid NH3) + Ta + S in sealed ampule at 773 K for 2 d
Cs4Ti3S14,1.294,-1.473542398,1.129382509,-0.164617491,www.dx.doi.org/10.1021/ic0011260,Ti + S + Cs2S3 flux (Cs + S in NH3) heated to 873 K for 4 d
Cs4Zr3Se14,1.5144,-1.062947126,1.08799353,-0.42640647,www.dx.doi.org/10.1021/ic0011260,Zr + Se + Cs2Se3 (Cs+Se in liquid NH3)
CsCuBi2S4,0.832,-0.876127246,1.164158601,0.332158601,"Huang, F.Q.; Mitchell, K.; Ibers, J.A. Syntheses and structures of the quaternary alkali-metal bismuth coinage-metal chalcogenides K3 Bi5 Cu2 S10, Cs Bi2 Cu S4, Rb Bi2.66 Cu Se5 and Cs Bi Ag2 S3 Journal of Alloys Compd. 325 (2001) 84-90",Cu + Bi in reactive flux Cs2S3 (Cs+S in NH3) in sealed quartz tube 600 C for 3 d
CsCuO2,0.9434,-1.366512312,0.885918263,-0.057481737,"Hestermann, K.; Hoppe, R. Die Kristallstruktur von K Cu O2, Rb Cu O2 und Cs Cu O2 Zeitschrift fuer Anorganische und Allgemeine Chemie 367 (1969) 249-260",CsO2 + CuO under flowing oxygen at 400 C for 6 d
CsGeI3,1.589,-0.849316031,1.345767922,-0.243232078,www.dx.doi.org/10.1021/jacs.5b01025,HI + H3PO2 + GeI4 + CsI (colloidal)
CsLaNb2O7,1.4414,-3.215240443,1.817141178,0.375741178,www.dx.doi.org/10.1107/S0108270195015848,Cs2CO3 + La2O3 + Nb2O5 in 4:1:2 ratio at 1273 K in air
CsMnP4O12,1.6921,-2.595474299,1.232375154,-0.459724846,"Murashova, E.V.; Chudinova, N.N. Synthesis and crystal structure of the double polyphosphate Cs Mn (P O3)4 Neorganicheskie Materialy 36 (2000) 1512-1515",MnO2 + Cs2CO3 + 85% H3PO4 in Pt crucible and heated btw 300-400 C for 5 d
CsMnBr3,1.2909,-1.262992672,1.333413818,0.042513818,"Seifert, H.J.; Dau, E. Ueber die Systeme Alkalimetallbromid/Mangan(II)-bromid Zeitschrift fuer Anorganische und Allgemeine Chemie 391 (1972) 302-312","photovoltaic, can be made colloidally or via thin films"
CsMnI3,1.0158,-0.920062706,0.851643711,-0.164156289,"Zandbergen, H.W. Neutron powder diffraction and magnetic measurements on Cs Mn I3 Journal of Solid State Chemistry 35 (1980) 367-375",MnI2 (prepared from the elements and purified by submlimation) + CsI at 380 C for 7 d in sealed ampule
CsSbS2,1.8406,-1.067564843,0.977526389,-0.863073611,"Kanishcheva, A.S.; Batog, V.N.; Mikhailov, Yu.N.; Kuznetsov, V.G. Crystal structure of Cs Sb S2 Doklady Akademii Nauk SSSR 251 (1980) 603-605",hydrothermal synthesis of Cs2S and Sb2S3
Cu2WO4,1.3749,-1.450783719,0.884716045,-0.490183955,www.dx.doi.org/10.1016/0022-5088(88)90165-8,CuWO4 (CuO and WO3 800C for 20 h) + Cu
Cu2WS4,1.4454,-0.841077685,1.672786677,0.227386677,"Crossland, C.J.; Evans, J.S.O. Synthesis and characterisation of a new high pressure polymorph of Cu2 W S4 Chemical Communications 2003 (2003) 2292-2293",synthesized colloidally
Cu3SbS3,0.9983,-0.480705296,1.04806256,0.04976256,www.dx.doi.org/10.1524/zkri.1998.213.4.228,Cu2S + Sb2S3 at 853 K in sealed quartz tube
Cu4Mo5O17,0.7571,-1.691497871,0.98264855,0.22554855,www.dx.doi.org/10.1002/zaac.19855301102,Cu2O + MoO3 in sealed ampule
CuI,1.6308,-0.156434982,1.878562727,0.247762727,www.dx.doi.org/10.1021/ja01422a005,can be purchased
CuP2,0.8635,-0.116654911,1.202699708,0.339199708,"Olofsson, O. The crystal structures of Cu P2 and Ag P2 with some phase analytical data of the Cu-P and Ag-P systems Acta Chemica Scandinavica (1-27,1973-42,1988) 19 (1965) 229-241",Copper halide + red P +hexadecane --> Schlenk technique
Fe12PbO19,1.1817,-1.797852117,1.383919157,0.202219157,"AdelskÌ¦ld, V. X-ray studies on Magneto Plumbite PbO åá 6Fe~2~O~3~ and other substances resembling ë_-alumina Na~2~O åá 11Al~2~O~3~ Arkiv fÌ¦r Kemi, Mineralogi och Geologi, A 12(2) (1938) 1-9","PbO+NH4Al(SO4)2+NH4Fe(SO4)2 heated to 400C, then 1000 C for 1 h 2x"
Fe2CuP4O14,0.7737,-2.390388664,1.171784328,0.398084328,www.dx.doi.org/10.1107/S0108270196000856,CuO + Fe2O3 + (NH4)2HPO4 at 1000 C for 24 h with slow cool
Fe2GeO4,1.4077,-1.959907108,1.414854078,0.007154078,www.dx.doi.org/10.1180/002646101300119529,GeO2 + NaOH + HCl + FeCl2 to 500 C for 1 h in autoclave
Fe2TeO6,1.2382,-1.745859228,1.013853204,-0.224346796,"Krishnan, K.; Singh Mudher, K.D.; Venugopal, V.; Rama Rao, G.A. Structural and thermochemical studies on Cr2 Te O6 and Fe2 Te O6 Journal of Alloys Compd. 316 (2001) 264-268",Fe2O3 + TeO2 heated to 700 C for 24 h 3x
Fe3BO5,1.0195,-2.123274244,1.07025637,0.05075637,"Swinnea, J. S.; Steinfink, H. Crystal structure and Mossbauer spectrum of vonsenite, 2FeO*FeBO3 American Mineralogist 68 (1983) 827-832",Fe+Fe2O3+B2O3 in sealed ampule at 900 C for 3 d
Fe3BO6,1.7877,-2.100276879,1.45435637,-0.33334363,www.dx.doi.org/10.1107/S0365110X6500498X,"Na3BO3 + Fe2O3 at 200 C, then 1200 C in air for 18 h then heated in boiling water then treated with HCl"
Fe3Te2C9O9,1.7141,-0.556561732,1.318678271,-0.395421729,"Schumann, H.; Magerstaedt, M.; Pickart, J. Die Kristall- und Molekuelstruktur von Fe3 Te2 (C O)9 Journal of Organometallic Chemistry 240 (1982) 407-411","Fe(CO)4I2 (Fe(CO5) in I2) + Na2Te in THF, solvent removed under vacuum"
Fe4Bi2O9,1.8957,-1.784072371,1.8372593,-0.0584407,"Niizeki, N.; Wachi, M. The crystal structures of Bi2Mn4O10, Bi2Al4O9 and Bi2Fe4O9 Zeitschrift fur Kristallographie 127 (1968) 173-187",from melt of Bi2O3 + 2 Fe2O3
Fe7P8O28,0.9326,-2.471395213,1.322187204,0.389587204,"Malaman, B.; Ijjaali, M.; Gerardin, R.; Venturini, G.; Gleitzer, C. Fe7(P2O7)4, a mixed-valence iron diphosphate, the missing link between Fe2P2O7 and Fe3(P2O7)2 European Journal of Solid State and Inorganic Chemistry 29 (1992) 1269-1284",Fe2P2O7+Fe4(P2O7)3 at 900 C in sealed ampule
FeCoPO5,1.7627,-2.187295504,1.389065371,-0.373634629,"El Khayati, N.; Cherkaoui El Moursli, R.; Rodriguez-Carvajal, J.; Roisnel, T.; Blanchard, N.; Bouree, F.; Andre, G.; Collin, G. Crystal and magnetic structures of the oxyphosphates M Fe P O5 (M = Fe, Co, Ni, Cu). Analysis of the magnetic ground state in terms of superexchange interactions The European Physical Journal B 22 (2001) 429-442",CoCO3 + FePO4 (Fe2O3 + (NH4)2HPO4 at 800 C for 24 h) at 1000 C for 2 d
FeGeO3,1.5712,-2.011854787,0.942877891,-0.628322109,www.dx.doi.org/10.2138/am.2012.3995,Fe + Fe2O3 + GeO2 in sealed ampule at 1273 K for 3-4 d
FeNi2BO5,1.8488,-1.76980056,1.047276822,-0.801523178,www.dx.doi.org/10.1002/zaac.19905820103,NiO + Fe2O3 + B2O3 at 1100 C for 4 h
Ga2TeSe2,1.6077,-0.514045676,0.913946193,-0.693753807,"Bredol, M.; Leute, V. The crystal structure of Ga2 Se2 Te. Physica Status Solidi, Sectio A: Applied Research 107 (1988) 7-10",Ga2Se3 + Ga2Te3 at 800 K for 1 year
GaBiO3,1.8782,-1.97918285,1.909714911,0.031514911,"Belik, A.A.; Matsui, Y.; Kamiyama, T.; Wuernisha, T.; Mori, K.; Maie, M.; Nagai, T.; Takayama-Muromachi, E. High-pressure synthesis, crystal structures, and properties of perovskite-like Bi Al O3 and pyroxene-like Bi Ga O3 Chemistry of Materials (1,1989-) 18 (2006) 133-139","Bi2O3+Ga2O3 heated to 1023 K for 8 h in air, then 6 gPa and 1473 K for 15 min"
GaCuI4,1.6967,-0.414112438,1.98066676,0.28396676,"Burnus, R.; Zajonc, A.; Meyer, G. Crystal structure of copper(I) tetraiodogallate(III), Cu Ga I4 Zeitschrift fuer Kristallographie (149,1979-) 210 (1995) 62-62",CuI + GaI3 in sealed ampule at 573 K (slow cooling to room temp at 1 K/h)
GaCuO2,0.9825,-1.686383359,1.394342232,0.411842232,www.dx.doi.org/10.1021/ic502659e,"Na2CO3 + Ga2O3 at 900 C for 20 h, then mixed with CuCl and fired at 250 C for 48 under vacuum"
GaN,1.7433,-0.665803209,1.264868389,-0.478431611,www.dx.doi.org/10.1002/zaac.19382390307,can be made via thin films
GaP2I9,1.7112,-0.238845555,1.01324239,-0.69795761,www.dx.doi.org/10.1107/S1600536800018419,"PI3 +GaI3 in CS2 at room temp, solvent removed under vacuum"
GaS,1.8818,-0.98448807,0.962289918,-0.919510082,"Wyckoff, R. W. G. Second edition. Interscience Publishers, New York, New York Crystal Structures 1 (1963) 85-237",can be made as thin films or colloidally
Ge4Se9,1.2221,-0.241956552,1.708067919,0.485967919,www.dx.doi.org/10.1107/S0108270105021979,Ta+Ge+Se+RbCl in sealed ampule at 1073K for 96 h
GeI4,1.996,-0.287115711,1.667222248,-0.328777752,"Jaeger, F M; Terpstra, P; Westenbrink, H G K On the crystal structure of germanium-tetraiodide Proceedings of the Koninklijke Nederlandse Academie van Wetenschappen 28 (1925) 747-766",can be bought
GeS,1.2376,-0.587086266,1.527818602,0.290218602,"Zachariasen, W H The crystal lattice of germano sulphide, Ge S Physical Review (1,1893-132,1963/141,1966-188,1969) 40 (1932) 917-922",can be made via thin films
GeSe,0.8988,-0.220734136,1.214589718,0.315789718,"Wyckoff, R. W. G. Second edition. Interscience Publishers, New York, New York Crystal Structures 1 (1963) 85-237",Can be made colloidally
GeSe2,1.4381,-0.270024639,1.816067919,0.377967919,"Grzechnik, A.; Mezouar, M.; Stolen, S.; Bakken, E.; Grande, T. Structural transformations in three-dimensional crystalline Ge Se2 at high pressures and high temperatures Journal of Solid State Chemistry 150 (2000) 121-127",Ge + Se at 1173 for 48 h in sealed quartz tube
GeTe,0.7469,-0.091003237,0.95878581,0.21188581,"Abrikosov, N.Kh.; Danilova-Dobryakova, G.T. An investigation of the structural diagram of Sb2 Te3 - Ge Te Inorganic Materials (USSR) (see: Izv.Akad.Nauk, Neorg.Mater.) 1 (1965) 187-190",Ge + Te in sealed ampule at 1000C for 24
In2O3,0.9324,-2.027263436,1.177758523,0.245358523,www.dx.doi.org/10.1107/s0365110x66001749,can be purchased
In4Bi2S9,1.6314,-0.880930336,0.823534699,-0.807865301,"Chapuis, G.; Gnehm, C.; Kraemer, V. Crystal structure and crystal chemistry of bismuth indium sulphide, Bi2 In4 S9 Acta Crystallographica B (24,1968-38,1982) 28 (1972) 3128-3130",Bi + In + S + I via CVT with temperature gradient of 680-600 C
InBr,1.2575,-0.690476895,1.039420057,-0.218079943,"Wyckoff, R. W. G. Second edition. Interscience Publishers, New York, New York Crystal Structures 1 (1963) 85-237",In + InBr3
InI,1.3414,-0.483638315,0.808472384,-0.532927616,"Wyckoff, R. W. G. Second edition. Interscience Publishers, New York, New York Crystal Structures 1 (1963) 85-237",In + I via sublimation 200 C to 100 C gradient
InSb2S4Br,1.522,-0.758601422,1.242820546,-0.279179454,www.dx.doi.org/10.1021/cm701995d,In + SbBr3 + Sb + S at 450 C in sealed ampule
InSb2S4Cl,1.5135,-0.87330234,1.34322737,-0.17027263,www.dx.doi.org/10.1021/cm701995d,In + SbCl3 + Sb + S at 450 C in sealed ampule
InSb2Se4Br,1.1267,-0.421157887,1.468298386,0.341598386,www.dx.doi.org/10.1021/cm701995d,In + SbBr3 + Sb + Se in sealed quartz ampule
K2BaNiN6O12,1.6929,-1.254097271,1.576674221,-0.116225779,"Takagi, S.; Lehnert, P.G.; Joesten, M.D. Potassium barium hexanitroniccolate(II) Acta Crystallographica B (24,1968-38,1982) 31 (1975) 1970-1972",KNO3 + NiCl + BaCl2 in aqueous solutions
K2CoCl4,0.8938,-1.728628107,1.319957403,0.426157403,"Vermin, W.J.; Verschoor, G.C.; Ijdo, D.J.W. Two modifications of cobalt dipotassium tetrachloride Acta Crystallographica B (24,1968-38,1982) 32 (1976) 3325-3328","KCl + CoCl2 melted, annealed in sealed quartz tube at 400 C for 1 week (phase change after several months)"
K2NbCuS4,1.9582,-1.384230765,0.900184766,-1.058015234,"Bensch, W.; Duerichen, P.; Weidlich, C. Crystal structure of dipotassium copper niobium tetrasulfide, K2 Cu Nb S4 Zeitschrift fuer Kristallographie (149,1979-) 211 (1996) 931-931",K2S3 + Cu +Nb + S at 623 K for 6 d
K2TaCuSe4,1.9842,-0.956132302,0.924863577,-1.059336423,"Lu, Y.-J.; Wu, P.; Ibers, J. A. Synthesis of the new one-dimensional quaternary compound K2CuTaSe4 and its structural relationship to other compounds in the K/Cu/M/Q (M = Nb, Ta; Q = S, Se) system European Journal of Solid State and Inorganic Chemistry 30 (1993) 101-110",K2Se5 + Ta + Cu + Se in sealed ampule at 950 C
K3LaP2Se8,1.4575,-0.934803151,0.924218769,-0.533281231,www.dx.doi.org/10.1021/ic000595z,Se + K2Se4 + P + La in sealed ampule at 725 C for 150 h
K3P11,1.93,-0.322020416,1.273452802,-0.656547198,"von Schnering, H.G.; Kliche, G.; Somer, M.; Ohse, L.; Kempa, P.B.; Wolf, J.; Meyer, T.; Hoenle, W. Darstellung, Eigenschaften und Schwingungsspektren der Kaefiganionen P11(3-) und As11(3-) Zeitschrift fuer Anorganische und Allgemeine Chemie 601 (1991) 13-30","K + P in sealed ampule at 380 C for 12 h, 470 C for 86 h"
K3PSe16,1.0901,-0.348830612,0.947418862,-0.142681138,www.dx.doi.org/10.1021/ic015602d,K2Se3 (K+Se in liquid NH3) + P2Se5 (P+Se in ampule at 450 C for 24 h) + Se + 1 mL acetonitrile heated to 110 C for 24 h
K3PSe4,1.8282,-0.877256903,1.396149615,-0.432050385,"B. C. Chan; P. L. Feng; Z. Hulvey; P. K. Dorhout Crystal structure of tripotassium tetraselenidophosphate, K~3~PSe~4~ Zeitschrift fÌ_r Kristallographie - New Crystal Structures 220(1) (2005) 11-11",P + Se + K2Se2 in sealed ampule at 500 C for 150 h
K3SbTe3,1.711,-0.788328481,0.825031447,-0.885968553,"Eisenmann, B.; Zagler, R. Crystal structure of tripotassium tritelluroantimonate(III) Zeitschrift fuer Kristallographie (149,1979-) 197 (1991) 255-256",K + Sb + Te in graphitized sealed ampule at 973 K
K3VP2O8,1.9782,-2.692331538,1.127426621,-0.850773379,www.dx.doi.org/10.1016/0022-4596(91)90080-2,"K2CO3 + H(NH4)2PO4 + V2O5 at 673 K in air, + V in sealed ampule at 972 K for 1 wk"
K4BeP2,1.1402,-0.382449731,1.087821766,-0.052378234,"Somer, M.; Hartweg, M.; Peters, K.; von Schnering, H.G. Crystal structure of potassium diphosphidoberyllate Zeitschrift fuer Kristallographie (149,1979-) 192 (1990) 263-264",K + Be + P in Nb ampule at 950 K
K4P21I,1.3384,-0.308060656,1.80450547,0.46610547,"Hoenle, W.; Schmettow, W.; Peters, K.; von Schnering, H.G.; Chang Jenhui The henicosaphosphide iodides of potassium and rubidium, K4 P21 I and Rb4 P21 I Zeitschrift fuer Anorganische und Allgemeine Chemie 630 (2004) 1858-1862",K + P + I in sealed ampule at 373 K for 3 d
K6MnS4,1.3035,-1.291056043,1.41086572,0.10736572,"Bronger, W.; Balk-Hardtdegen, H. Darstellung, Struktur und magnetisches Verhalten von Alkalimetallmanganchalkogeniden A6 Mn X4 mit A = Na oder K und X = S, Se oder Te Zeitschrift fuer Anorganische und Allgemeine Chemie 574 (1989) 89-98",K2CO3 + S + Mn under H2 at 1070 K
K6MnSe4,1.2349,-1.052944902,1.174471715,-0.060428285,"Bronger, W.; Balk-Hardtdegen, H. Darstellung, Struktur und magnetisches Verhalten von Alkalimetallmanganchalkogeniden A6 Mn X4 mit A = Na oder K und X = S, Se oder Te Zeitschrift fuer Anorganische und Allgemeine Chemie 574 (1989) 89-98",K2CO3 + MnCO3 + Se in stream of hydrogen charged with Se
